{'5_flow_ch': '0.0', 'Number': 32810, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.15'}
{'5_flow_ch': '0.0', 'Number': 32811, '2_flow_ch': '0.03', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.87', '3_flow_ch': '0.75', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.26'}
{'5_flow_ch': '0.0', 'Number': 32812, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.03', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.15'}
{'5_flow_ch': '0.0', 'Number': 32813, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.45', '3_flow_ch': '0.41', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.22'}
{'5_flow_ch': '0.0', 'Number': 32814, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.34', '3_flow_ch': '0.34', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32815, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.18', '3_flow_ch': '0.26', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.26'}
{'5_flow_ch': '0.0', 'Number': 32816, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.34', '3_flow_ch': '0.07', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32817, '2_flow_ch': '0.15', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.37', '3_flow_ch': '0.56', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.07'}
{'5_flow_ch': '0.0', 'Number': 32818, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32819, '2_flow_ch': '0.15', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.56', '3_flow_ch': '0.53', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.03'}
{'5_flow_ch': '0.0', 'Number': 32820, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.07', '3_flow_ch': '0.03', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32821, '2_flow_ch': '0.03', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.03', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32822, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.41', '3_flow_ch': '0.22', '8_flow_ch': '0.0', 'time': '8-16-47-47', '1_flow_ch': '0.0'}
